order_id,local_time,country_code,store_address,payment_status,n_of_products,products_total,final_status
33446280,14:11:09,AR,55379,PAID,2,11.88,DeliveredStatus
33107339,11:47:41,GT,23487,PAID,2,5.2,DeliveredStatus
32960645,11:53:53,CR,62229,PAID,1,6.03,DeliveredStatus
32089564,20:15:21,ES,29446,PAID,6,6.37,DeliveredStatus
32157739,21:32:16,AR,13917,PAID,1,5.36,CanceledStatus
33214981,22:34:52,PE,11694,PAID,2,4.85,DeliveredStatus
32951974,12:03:05,PA,69823,PAID,3,23.63,DeliveredStatus
32446597,20:33:07,FR,1718,PAID,5,8.9,DeliveredStatus
32236610,17:09:16,ES,30120,PAID,3,4.35,DeliveredStatus
33114130,19:20:51,IT,21071,PAID,1,24,DeliveredStatus
32365986,15:13:12,TR,45651,PAID,3,6.28,DeliveredStatus
33328980,22:00:48,IT,10015,PAID,7,42.5,DeliveredStatus
32814564,18:49:52,TR,43466,PAID,3,12.75,DeliveredStatus
32235607,18:02:18,ES,18682,PAID,9,16.12,DeliveredStatus
32058412,11:43:17,EC,41132,PAID,3,4.22,DeliveredStatus
33220581,10:00:50,RO,72554,PAID,2,4.71,DeliveredStatus
33392278,13:21:59,KE,71165,PAID,4,38.95,CanceledStatus
33187946,20:49:16,AR,55206,PAID,2,8.27,DeliveredStatus
32645208,21:42:50,PA,17784,PAID,1,7.01,DeliveredStatus
32670668,14:37:58,ES,8994,PAID,12,17.93,DeliveredStatus
32639260,22:27:08,AR,59619,PAID,2,10.62,CanceledStatus
32644357,21:28:59,PE,51835,PAID,2,16.52,DeliveredStatus
32424498,21:22:25,TR,45702,PAID,1,5.56,DeliveredStatus
32407032,17:47:50,FR,2965,PAID,5,20.9,DeliveredStatus
32126718,21:12:30,ES,14872,PAID,3,22,DeliveredStatus
32229263,16:13:48,ES,14872,PAID,1,15,DeliveredStatus
32388285,16:27:11,UA,55878,PAID,1,1.38,DeliveredStatus
32710825,19:57:17,ES,49472,PAID,4,4.23,DeliveredStatus
33536109,20:38:34,AR,34119,PAID,1,5.19,DeliveredStatus
33558112,22:06:11,PE,51975,PAID,1,15.83,CanceledStatus
32550081,15:11:31,IT,10716,PAID,3,22.4,DeliveredStatus
32475762,15:57:37,PE,51836,PAID,2,3.99,DeliveredStatus
32374302,13:08:32,PT,15711,PAID,9,11.57,DeliveredStatus
33119952,13:46:37,PE,29366,PAID,1,10.24,DeliveredStatus
33442512,17:45:53,ES,51146,PAID,2,2.55,DeliveredStatus
32504731,20:22:57,DO,41662,PAID,2,5.74,DeliveredStatus
33031519,20:18:51,PA,65896,PAID,1,2.66,DeliveredStatus
32182851,03:19:05,AR,33382,PAID,1,4.2,CanceledStatus
32354948,11:17:00,RO,70539,PAID,2,6.74,DeliveredStatus
32831016,12:55:33,EC,48827,PAID,1,7.95,DeliveredStatus
32950011,13:38:26,AR,59127,PAID,1,0.34,DeliveredStatus
32703692,19:17:37,IT,9673,PAID,6,15.62,DeliveredStatus
32528088,12:19:23,TR,69037,PAID,5,4.02,DeliveredStatus
32216414,17:30:32,TR,37508,PAID,1,6.02,DeliveredStatus
33490816,15:52:20,DO,48086,PAID,1,3.96,DeliveredStatus
32792580,16:27:05,GE,46976,PAID,3,6.22,DeliveredStatus
32325476,21:23:34,AR,52158,PAID,4,8.35,DeliveredStatus
32919834,13:10:03,FR,3699,PAID,3,10.15,DeliveredStatus
33257985,12:21:27,AR,62931,PAID,12,13.79,DeliveredStatus
33438599,19:17:38,TR,66623,PAID,3,3.68,DeliveredStatus
33272795,20:17:14,TR,48225,PAID,1,4.58,DeliveredStatus
33294470,14:06:14,EC,36790,PAID,1,3.56,DeliveredStatus
32417357,18:49:59,IT,10696,PAID,5,9.37,DeliveredStatus
32722520,19:50:15,ES,28671,PAID,3,11.9,DeliveredStatus
32159740,19:45:49,PA,65896,PAID,3,5.58,DeliveredStatus
32796534,15:08:11,UA,65180,PAID,5,21.68,DeliveredStatus
33420597,09:07:02,PE,43389,PAID,3,11.99,DeliveredStatus
32399578,17:52:32,UA,50832,PAID,2,8.71,DeliveredStatus
32660725,12:58:13,IT,12513,PAID,2,8.9,DeliveredStatus
32229115,13:12:35,AR,57753,PAID,2,4.86,DeliveredStatus
33173867,15:59:46,CR,48111,PAID,3,14.25,DeliveredStatus
32527259,11:52:10,TR,70568,PAID,1,5.08,DeliveredStatus
32971367,12:52:04,CR,54524,PAID,2,17.5,DeliveredStatus
33105637,12:38:36,PE,65879,PAID,2,8.62,DeliveredStatus
32917976,13:51:01,RO,65987,PAID,2,7.17,DeliveredStatus
32926999,14:14:32,MA,33030,PAID,2,6.46,DeliveredStatus
32178027,22:24:44,PA,65898,PAID,1,0.56,DeliveredStatus
31936061,16:43:06,ES,16276,PAID,6,11.65,DeliveredStatus
32843714,20:06:05,FR,1213,PAID,6,37.1,DeliveredStatus
33112533,19:13:39,IT,12513,PAID,2,14.7,DeliveredStatus
32042175,09:45:40,EC,51374,PAID,2,6.33,DeliveredStatus
32585343,21:54:37,TR,62030,PAID,2,4.38,DeliveredStatus
33538976,21:00:02,AR,61394,PAID,2,4.32,DeliveredStatus
33101488,12:15:17,PE,51831,PAID,2,8.08,DeliveredStatus
33353090,20:36:48,AR,63908,PAID,2,13.61,DeliveredStatus
32039883,15:29:14,ES,13660,PAID,6,45.9,DeliveredStatus
32187853,11:54:28,UA,61040,PAID,2,7.78,DeliveredStatus
32570664,18:21:24,FR,3299,PAID,1,7.99,DeliveredStatus
32528876,10:40:44,ES,7777,PAID,3,13.65,DeliveredStatus
32628320,20:38:05,AR,55375,PAID,3,18.14,DeliveredStatus
33360796,21:30:18,AR,34039,PAID,1,4.97,DeliveredStatus
32684522,18:53:24,TR,60457,PAID,2,3.2,DeliveredStatus
32055891,16:25:33,ES,15871,PAID,9,14.14,DeliveredStatus
