,order_id,local_time,country_code,store_address,payment_status,n_of_products,products_total,final_status
0,33446280,51069,AR,55379,PAID,2,11.88,DeliveredStatus
1,33107339,42461,GT,23487,PAID,2,5.2,DeliveredStatus
2,32960645,42833,CR,62229,PAID,1,6.03,DeliveredStatus
3,32089564,72921,ES,29446,PAID,6,6.37,DeliveredStatus
4,32157739,77536,AR,13917,PAID,1,5.36,CanceledStatus
5,33214981,81292,PE,11694,PAID,2,4.85,DeliveredStatus
6,32951974,43385,PA,69823,PAID,3,23.63,DeliveredStatus
7,32446597,73987,FR,1718,PAID,5,8.9,DeliveredStatus
8,32236610,61756,ES,30120,PAID,3,4.35,DeliveredStatus
9,33114130,69651,IT,21071,PAID,1,24.0,DeliveredStatus
10,32365986,54792,TR,45651,PAID,3,6.28,DeliveredStatus
11,33328980,79248,IT,10015,PAID,7,42.5,DeliveredStatus
12,32814564,67792,TR,43466,PAID,3,12.75,DeliveredStatus
13,32235607,64938,ES,18682,PAID,9,16.12,DeliveredStatus
14,32058412,42197,EC,41132,PAID,3,4.22,DeliveredStatus
15,33220581,36050,RO,72554,PAID,2,4.71,DeliveredStatus
16,33392278,48119,KE,71165,PAID,4,38.95,CanceledStatus
17,33187946,74956,AR,55206,PAID,2,8.27,DeliveredStatus
18,32645208,78170,PA,17784,PAID,1,7.01,DeliveredStatus
19,32670668,52678,ES,8994,PAID,12,17.93,DeliveredStatus
20,32639260,80828,AR,59619,PAID,2,10.62,CanceledStatus
21,32644357,77339,PE,51835,PAID,2,16.52,DeliveredStatus
22,32424498,76945,TR,45702,PAID,1,5.56,DeliveredStatus
23,32407032,64070,FR,2965,PAID,5,20.9,DeliveredStatus
24,32126718,76350,ES,14872,PAID,3,22.0,DeliveredStatus
25,32229263,58428,ES,14872,PAID,1,15.0,DeliveredStatus
26,32388285,59231,UA,55878,PAID,1,1.38,DeliveredStatus
27,32710825,71837,ES,49472,PAID,4,4.23,DeliveredStatus
28,33536109,74314,AR,34119,PAID,1,5.19,DeliveredStatus
29,33558112,79571,PE,51975,PAID,1,15.83,CanceledStatus
30,32550081,54691,IT,10716,PAID,3,22.4,DeliveredStatus
31,32475762,57457,PE,51836,PAID,2,3.99,DeliveredStatus
32,32374302,47312,PT,15711,PAID,9,11.57,DeliveredStatus
33,33119952,49597,PE,29366,PAID,1,10.24,DeliveredStatus
34,33442512,63953,ES,51146,PAID,2,2.55,DeliveredStatus
35,32504731,73377,DO,41662,PAID,2,5.74,DeliveredStatus
36,33031519,73131,PA,65896,PAID,1,2.66,DeliveredStatus
37,32182851,11945,AR,33382,PAID,1,4.2,CanceledStatus
38,32354948,40620,RO,70539,PAID,2,6.74,DeliveredStatus
39,32831016,46533,EC,48827,PAID,1,7.95,DeliveredStatus
40,32950011,49106,AR,59127,PAID,1,0.34,DeliveredStatus
41,32703692,69457,IT,9673,PAID,6,15.62,DeliveredStatus
42,32528088,44363,TR,69037,PAID,5,4.02,DeliveredStatus
43,32216414,63032,TR,37508,PAID,1,6.02,DeliveredStatus
44,33490816,57140,DO,48086,PAID,1,3.96,DeliveredStatus
45,32792580,59225,GE,46976,PAID,3,6.22,DeliveredStatus
46,32325476,77014,AR,52158,PAID,4,8.35,DeliveredStatus
47,32919834,47403,FR,3699,PAID,3,10.15,DeliveredStatus
48,33257985,44487,AR,62931,PAID,12,13.79,DeliveredStatus
49,33438599,69458,TR,66623,PAID,3,3.68,DeliveredStatus
50,33272795,73034,TR,48225,PAID,1,4.58,DeliveredStatus
51,33294470,50774,EC,36790,PAID,1,3.56,DeliveredStatus
52,32417357,67799,IT,10696,PAID,5,9.37,DeliveredStatus
53,32722520,71415,ES,28671,PAID,3,11.9,DeliveredStatus
54,32159740,71149,PA,65896,PAID,3,5.58,DeliveredStatus
55,32796534,54491,UA,65180,PAID,5,21.68,DeliveredStatus
56,33420597,32822,PE,43389,PAID,3,11.99,DeliveredStatus
